ResourceID,PRN Type,Protection Type,Heritage Asset Name,Description 1,Description Type 1,Description 2,Description Type 2,Entry Type,External Information System,External Information System PRN,Area Type,Evidence,Designation or Protection Type,Grade,Compiler (Organisation),Compiler (Person),Date of Compilation,Date of Last Update,GIS File,GIS REFERENCE FIELD,GIS REFERENCE,wkt
001c0e41-f561-406f-8855-a7079da852f7,LARA RAZ AREA,,St Swithin,"The parish of St Swithin was quite a populous and wealthy one, including as it did the northern waterfront east of High Bridge and the suburb of Thorngate, and this had some impact on the architecture of the medieval church which is known from early views to have been a large and elaborately detailed building. The prosperity of the citizens might also be indicated by the foundation here of at least two chantries (for the Pinson family in 1324 and the Chesterfield family in 1352 - Venables 1887-8c, 25) and these are likely to have had some impact on liturgical layout. Throughout the later middle ages there is a sequence of elite burials here extending until the early 16th century (ed. Gibbon 1888, 43, 58, 152, 164, 171). The church survived the Reformation and so the site should preserve archaeological evidence for alterations in liturgical layout etc. It seems to have survived in good condition until 1644, when it is said that an explosion of gunpowder in Cornmarket Hill (200m away!) caused damage and a fire which destroyed it (Venables 1887-8c, 26). Thereafter the parish camped out in the ruins of the south aisle, although the date at which they fitted it out seems to be unknown. The reality of this sequence of this events should be visible in the archaeological record and the re-fitting of the south aisle will be of interest in its own right as a rare example of a newly fitted-out church of the later 17th century. The graveyard population of St Swithin is likely to be of considerable interest as, like the church, it will also have contained elite burials, although it may have been dominated by families of lesser rank in this quayside environment. The graveyard continued in use until the 19th century, and, if dealt with as a single population, it will permit a useful study of the development of the parish population through 1000 years.",Summary,The site of the medieval church is known and it extended further south than the 19th-century churchyard wall (RAZ 9.60.45). This area of Saltergate is included within the RAZ and should be watched for during work on services in this area.,Boundary Description,,Lincoln Archaeological Resource Assessment,10.60.45,Research Agenda Zone,,,,,,,,LARA RAZs.shp,DRAWING,10.60.45,
001c0e41-f561-406f-8855-a7079da852f7,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.53874 53.22899,-0.53865 53.22927,-0.53785 53.22919,-0.53796 53.22891,-0.53874 53.22899)))"
005d7890-c528-43b8-bbe6-a5695d8e2bb1,LARA RAZ AREA,,Sewage industry,"Although there had been spasmodic efforts made towards installing an underground sewerage system in the 1840s (Hill 1974, 162), little was achieved, and by 1870 a central government inspector could conclude that ‰Û¡ÌÝÌáthere is not a town in England which offers a more flagrant instance of the dereliction of this duty than the city of Lincoln‰Û¡ÌÝå» (Hill 1974, 169). A pumping engine for Lincoln‰Û¡ÌÝå»s Sewage works was built in 1876-80 on Great Northern Terrace (Herridge 1999, No.5101), utilising designs by engineers Lawson and Mansergh. Three buildings and a pair of semi-detached houses survive and on the south side of the site is the base of a chimney, which presumably powered the pumping engine. In 1885 pumping power was supplied by two compound engines manufactured by Hathorn Davey and Co of Leeds. The works had their own railway siding provided by the GNR in the 1880s. The internal narrow gauge railway ran to the refuse destructor (Herridge 1999, No.5100) on the east side, built in 1915 to provide power for the sewage farm operation. The pumping engine pumped the sewage to the treatment beds to the east, laid out between the railway and the Washingborough Road and known as Irrigation Farm (Williamson 1890, 156). A group of buildings of uncertain function survive on the Washingborough Road site and should be the subject of recording in conjunction with repairs and alterations. A full research agenda for sites of these types is provided in the Step 1 and Step 3 Reports on the Water industry (Douet 1995; Trueman forthcoming). Future work should concentrate on exploring the development of the sewage system and on the extent to which the city capitalised on the latest national developments. The Corporation were criticised for being behind cities of similar type throughout much of the 19th century and it will be interesting to see if they caught up once investment was made. According to Mills (2001, 142-4) the plant on the south side of the Washingborough Road was also established in 1881. This seems to have had filtration tanks from the first and, therefore, would represent a somewhat different type of, or stage in, the treatment system. Was the sludge pumped up to Washingborough and then fed back through first the tanks and then the irrigation farm on its way back to the Witham? It is said that many adaptations were made to the system following the typhoid outbreak of 1905 and traces of these adaptations would be of considerable interest nationally.Many refuse destructors were built in England between c.1876 and 1914, but few seem to have survived and they have not been subject to systematic study (Trueman 1994, 16; forthcoming). Future work on the site should concentrate on understanding its working, but we should also be interested in the system of refuse collection and transport which the City Council developed to supply fuel to the destructor.",Summary,The various RAZ elements are mapped following the sites‰Û¡ÌÝå» depictions on various O.S. map editions and including a 10m wide extension on each side to accommodate buried features not mapped.,Boundary Description,,Lincoln Archaeological Resource Assessment,11.47,Research Agenda Zone,,,,,,,,LARA RAZs.shp,DRAWING,11.47,
005d7890-c528-43b8-bbe6-a5695d8e2bb1,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.50206 53.22464,-0.50206 53.22463,-0.50199 53.22432,-0.5023 53.22432,-0.50289 53.22429,-0.50388 53.22426,-0.50542 53.22421,-0.50637 53.22418,-0.50639 53.22434,-0.5064 53.22461,-0.50649 53.22555,-0.50623 53.22551,-0.50572 53.22543,-0.50559 53.22542,-0.50533 53.22539,-0.50506 53.22536,-0.50473 53.22532,-0.50464 53.22532,-0.50408 53.22528,-0.5039 53.22527,-0.50351 53.22524,-0.50286 53.2252,-0.50225 53.22516,-0.50218 53.22515,-0.50206 53.22464)))"
005d7890-c528-43b8-bbe6-a5695d8e2bb1,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.50129 53.22103,-0.50154 53.22096,-0.50183 53.22088,-0.50196 53.22084,-0.50212 53.2208,-0.50303 53.22055,-0.50313 53.22052,-0.50422 53.22022,-0.50541 53.21991,-0.50576 53.21973,-0.5058 53.21971,-0.50685 53.21921,-0.50689 53.21919,-0.50697 53.21915,-0.50726 53.21901,-0.50748 53.2189,-0.50754 53.21887,-0.50814 53.21854,-0.50892 53.21819,-0.50896 53.21817,-0.50913 53.21818,-0.50914 53.21843,-0.50909 53.21862,-0.50901 53.21875,-0.50879 53.21893,-0.50863 53.21903,-0.50858 53.21908,-0.50847 53.21929,-0.50845 53.21943,-0.50845 53.21946,-0.50844 53.21948,-0.50844 53.2195,-0.50844 53.21953,-0.50846 53.2197,-0.50849 53.22004,-0.50848 53.22047,-0.50835 53.2205,-0.5078 53.22063,-0.50718 53.22078,-0.50648 53.22094,-0.50573 53.22109,-0.50543 53.22113,-0.50493 53.2212,-0.50444 53.22121,-0.50299 53.22131,-0.50207 53.22134,-0.50193 53.22136,-0.50136 53.22141,-0.50129 53.22103)))"
005d7890-c528-43b8-bbe6-a5695d8e2bb1,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.50157 53.22268,-0.50154 53.22247,-0.50153 53.22227,-0.50146 53.22192,-0.50139 53.22153,-0.50164 53.2215,-0.50173 53.22148,-0.50214 53.22146,-0.50233 53.22145,-0.50278 53.22144,-0.50314 53.22143,-0.50346 53.22141,-0.50378 53.22139,-0.50419 53.22137,-0.50494 53.22133,-0.50517 53.22132,-0.50535 53.22131,-0.50555 53.2213,-0.50615 53.22118,-0.50653 53.2211,-0.50662 53.22108,-0.50674 53.22105,-0.50692 53.22099,-0.50746 53.22087,-0.50845 53.22064,-0.50899 53.22057,-0.50932 53.22056,-0.5094 53.22055,-0.51007 53.22053,-0.51056 53.22052,-0.511 53.2205,-0.51137 53.2205,-0.51145 53.22049,-0.5121 53.22045,-0.51214 53.22129,-0.51173 53.22129,-0.5114 53.22133,-0.51139 53.22275,-0.51001 53.22274,-0.50927 53.22273,-0.50859 53.22271,-0.50685 53.22272,-0.50579 53.22272,-0.50527 53.22273,-0.50363 53.22269,-0.50274 53.22268,-0.50212 53.22268,-0.50191 53.22268,-0.50181 53.22268,-0.50157 53.22268)))"
005d7890-c528-43b8-bbe6-a5695d8e2bb1,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.52425 53.22576,-0.52414 53.22577,-0.52395 53.2258,-0.52385 53.22582,-0.52373 53.22584,-0.52333 53.2259,-0.52308 53.22595,-0.52272 53.22601,-0.5207 53.22634,-0.52053 53.22636,-0.5205 53.22637,-0.52049 53.22637,-0.52047 53.22637,-0.52049 53.22577,-0.51512 53.22574,-0.51514 53.22696,-0.51098 53.22629,-0.51098 53.22621,-0.51099 53.22616,-0.511 53.22602,-0.51102 53.22584,-0.51102 53.22573,-0.51106 53.22527,-0.51108 53.2251,-0.5111 53.22485,-0.51326 53.22487,-0.5151 53.22488,-0.5151 53.22564,-0.520490005443658 53.2256599629831,-0.520538547629218 53.2253298761213,-0.5226 53.2253,-0.52316 53.22531,-0.52352 53.22527,-0.52421 53.22523,-0.52446 53.22572,-0.52428 53.22575,-0.52425 53.22576),(-0.520490005443658 53.2256599629831,-0.52049 53.22566,-0.5205 53.22566,-0.520490005443658 53.2256599629831)),((-0.520538547629218 53.2253298761213,-0.52053 53.22533,-0.52054 53.22532,-0.520538547629218 53.2253298761213)))"
00763bf7-2442-479f-8f9c-6052e13dbf8e,LARA RAZ AREA,,St Martin‰Û¡ÌÝå»s graveyard (Formerly St Mary Crackpool),"Although the church of St Mary Crackpool was demolished following its merger with St Martin‰Û¡ÌÝå»s parish in 1549 (RAZ 9.60.42; 10.60.42), the site continued to serve as an overspill graveyard for the parish until the 1850s. The churchyard, therefore, has a long sequence of burials, extending perhaps over a millennium. Burials from this graveyard will be particularly helpful in assessing whether the population benefited from the social and medical advances of the Industrial Era or whether, conversely, they suffered a deterioration in their circumstances. Results from this burial population should be compared with those from similar graveyards across the city. Many graveyard memorials of the Industrial Era survive and it is important that the inscriptions they carry are recorded before they become illegible.",Summary,The RAZ is drawn following the boundaries depicted on the 1st edition O.S. map. This boundary includes a smaller area than the extent of the graveyards of the Medieval and Early Modern Eras. In particular the graveyard was reduced in size along its eastern boundary to make way for the extension to Beaumont Fee in 1886.,Boundary Description,,Lincoln Archaeological Resource Assessment,11.91.13,Research Agenda Zone,,,,,,,,LARA RAZs.shp,DRAWING,11.91.13,
00763bf7-2442-479f-8f9c-6052e13dbf8e,,,,,,,,,,,,,,,,,,,,,,"GEOMETRYCOLLECTION(POLYGON((-0.54287 53.23027,-0.54287 53.2303,-0.54285 53.23033,-0.54283 53.23036,-0.54282 53.23038,-0.54281 53.23041,-0.54278 53.23047,-0.54276 53.23051,-0.54275 53.23054,-0.54274 53.23055,-0.54273 53.23056,-0.54272 53.23056,-0.54272 53.23057,-0.54271 53.23057,-0.54269 53.23058,-0.54266 53.23059,-0.54265 53.2306,-0.54264 53.2306,-0.54263 53.23061,-0.54261 53.23061,-0.54258 53.23061,-0.54256 53.23061,-0.54254 53.23062,-0.54253 53.23062,-0.54251 53.23061,-0.54238 53.2306,-0.54233 53.23059,-0.5423 53.23059,-0.54229 53.23059,-0.54228 53.23059,-0.54227 53.23059,-0.54226 53.23059,-0.54225 53.23058,-0.54224 53.23058,-0.54223 53.23057,-0.54222 53.23056,-0.54221 53.23056,-0.54221 53.23055,-0.5422 53.23055,-0.5422 53.23054,-0.5422 53.23053,-0.54222 53.23051,-0.54233 53.23034,-0.54243 53.2302,-0.54253 53.23021,-0.54265 53.23023,-0.54287 53.23027)),LINESTRING(-0.54287 53.23027,-0.54288 53.23027))"
0160612e-4297-450f-b9e3-7591f558fb83,LARA RAZ AREA,,Long distance roads,"The same three roads which had linked Lincoln to other cities and regions in the previous Era continued in use. Ermine Street, which linked the city to London in the south, arrived at the city boundary at Cross o‰Û¡ÌÝå» Cliff Hill, where there was an important boundary marker formed by a cross on top of the hill from at least the 16th century, and probably earlier- (RAZ 9.45.1). From here it headed down the steep slope towards the large open area of Swine Green. The course of the road may have lain along the modern road, which is deeply cut into a hollow way at this point, but alternative routes may survive in earthwork form in South Common to the east. An understanding of the various lines taken by this, the most important of all the access routes to the city, will be gained from both an earthwork survey of South Common and, also, any observations that can be made in the bed of the existing road. Any permanent shifts in its line would presumably have been made in response to changes in the topography to the north. Temporary shifts, on the other hand, may be seasonal and will give us some understanding how the road was used in wet weather. Evidence for repair and neglect of the road might be helpful in indicating the varying weight of traffic over time, especially in comparison with similar results from Ermine Street north of the city and from the Fosse Way. Ermine Street continued north of Lincoln to York (via Till Bridge Lane) and to Hull (via Glandford Bridge and Barton-on-Humber). This road left the walled city at Newport Arch on the line of the modern road. Immediately outside the gate, it passed through Newport market (RAZ 9.19, 10.16) and north of St John‰Û¡ÌÝå»s church, presumably in the vicinity of the roundabout at Yarborough Crescent, it crossed the defensive ditch which surrounded the Newport suburb. Road works here should be watched for evidence of both the defences themselves, which may have been abandoned by this Era, and the bridge which presumably carried the road over them. There was a boundary marker at the point where the road left the city fields (RAZ 9.45.4 & 10.45.4). Patterns of repair and neglect may be of some use in judging the levels of traffic on the road through time, although such evidence will have to be deployed with care. The third long-distance route, towards Newark and Nottingham, the Fosse Way, joined the modern city boundary at a point well beyond the medieval city‰Û¡ÌÝå»s jurisdiction. Like the Ermine Street north and south of the city, the line of the high medieval road continued in use, including the Witham crossing (RAZ 10.13.1). The early modern road then headed north-eastwards to join Swine Green, again following the line of its high medieval predecessor along modern line of Newark Road. It may be possible to say something about the weight of traffic carried by the road by gathering evidence for its neglect and repair during the early modern period, especially if such results are compared with similar information from the Ermine Street north and south of the city.",Summary,"The RAZ boundaries for all of these roads have been drawn to include a 10m margin along either side of the modern roads. Where the medieval road line is thought to depart from the modern, the RAZ is broadened to 50m to ensure that any alternative phases of alignment are detected.",Boundary Description,,Lincoln Archaeological Resource Assessment,10.12.1,Research Agenda Zone,,,,,,,,LARA RAZs.shp,DRAWING,10.12.1,
