ResourceID,External Cross Reference Number,External Cross Reference Source,External Cross Reference Notes,Primary Reference Number Type,Activity Name,Name Type,Activity_Name_2,Name_Type_2,Activity Type,Description,Description Type,Start Date,End Date,xcoord,ycoord,External_Xref_Source_2,External_Xref_2,Compiler,Date of Compilation,Date of Last Update,wkt_point,wkt_poly
000543e8-bfea-40b3-8325-010981f2369e,5522,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Spring Hill""",Primary,"""Castle Mount, Spring Hill""",Site Name,WATCHING BRIEF,"""Observation of groundworks involved with structural repair, including underpinning. No archaeological deposits were observed.""",Summary,2000-09-18,2000-09-18,497378,371733,Lincoln City and County Museum,,John Herridge,2000-09-19,2007-04-27,POINT (-0.542554016810026 53.2337139891952),
00239274-5436-4e45-a8cd-dcde5e46c7b1,7898,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at Bailgate""",Primary,"""Westgate Water Mains Replacement""",Site Name,WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) of trenches excavated during relining and reconfiguration of water mains. Trench ten of 48. Trench 10, Bailgate. No archaeological deposits were observed.""",Summary,2002-04-26,2002-10-10,497636,371800,Lincoln City and County Museum,2002.235,John Herridge,2004-01-05,2010-03-11,POINT (-0.538669567225726 53.234268737241),
0035febf-0e1b-4129-b851-dbf4bd0a69b4,684,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at West Common""",Primary,"""West Common Golf Course""",Site Name,WATCHING BRIEF,"""Trench 1 of two. Renewal of the existing land drainage system allowed a 0.90m deep trench to be watched. Moderately compact grey sandy/clayey earth containing grass (very waterlogged) overlay a layer of clayey sand containing pebbles. No features of finds""",Summary,1994-04-21,1994-04-21,495596,372290,Lincoln City and County Museum,,Michael Dore,1994-12-16,2013-09-18,POINT (-0.569075599738482 53.2390425145994),
005213e6-4318-4b95-80e6-5bace9e4346c,1279,Lincoln Heritage Database,,Investigative Activity,"""Trial Trench at Greestone Stairs""",Primary,"""Greestone Stairs""",Site Name,TRIAL TRENCH,"""Area 1 of three. Trench 1. All archaeological deposits destroyed by later activity. Clay subsoil almost at ground level. Cellar walls and drains and of the Greestones were recorded.""",Summary,1989-12-15,1989-12-01,497945,371615,Lincoln City and County Museum,2006.17,Michael Dore,1995-01-18,2014-07-03,POINT (-0.53409855453067 53.2325495286375),
005213e6-4318-4b95-80e6-5bace9e4346c,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.534164 53.232569,-0.534165 53.232561,-0.534001 53.232551,-0.534 53.23256,-0.534164 53.232569)))"
0076a8b2-72ae-42b4-8bd6-f82f3d4f54a8,10569,Lincoln Heritage Database,,Investigative Activity,"""Trial Trench at Hykeham Road""",Primary,"""Land to the rear of 41-73 Hykeham Road""",Site Name,TRIAL TRENCH,"""Archaeological Evaluation in advance of a residential development. Eight trenches were investigated, Trenches 1-8. Evidence was revealed relating to Roman industrial use of the site, in the form of pottery production. Area 3, Trench 8, 20m x 2m. The natural substratum, 0.68 below the ground surface, was cut by a ditch, sealed by a stony deposit. This was sealed by a subsoil, which was cut by a post-medieval ditch and modern land drain. This trench was excavated across the line of ""The Pingles"" but nothing was found to throw light on its nature. No evidence for any road surface.""",Summary,2008-05-06,2008-05-16,496414,368042,Lincoln City and County Museum,2008.114,John Herridge,2008-09-08,,POINT (-0.558105707424548 53.2007223708746),
0076a8b2-72ae-42b4-8bd6-f82f3d4f54a8,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.558183 53.200655,-0.557984 53.200796,-0.558008 53.200808,-0.558207 53.200667,-0.558183 53.200655)))"
008b5916-226c-4024-a5ba-8d887b82d3aa,266,Lincoln Heritage Database,,Investigative Activity,"""Excavation at Grey Friars Pathway/Free School Lane/Broadgate""",Primary,"""Grey Friars Pathway""",Site Name,EXCAVATION,"""This trench contained soft yellowish worked limestone blocks with some evidence of white/yellow mortar. Also included was a limestone (?windowsill) block with bevelled side which had been reused as a footing near to the Museum doorway""",Summary,1990-05-02,1990-05-02,497773,371240,Lincoln City and County Museum,,Michael Dore,1994-11-28,2013-09-18,POINT (-0.536789338217122 53.2292114735933),
008d6dcf-da3c-4e53-9dbd-b97678df716b,11154,Lincoln Heritage Database,,Investigative Activity,"""Watching Brief at 2 Minster Yard""",Primary,"""The Priory, 2 Minster Yard""",Site Name,WATCHING BRIEF,"""Archaeological monitoring and recording during drain trenching works in two locations. The modern gravel surface overlay crushed limestone bedding, an earlier asphalt car park surface, and a levelling layer. Trench 2; south west of the building. A wall fragment was recorded.""",Summary,2011-11-08,2011-11-08,497945,371876,Lincoln City and County Museum,2011.517,John Herridge,2012-06-13,,POINT (-0.534018435069991 53.2348948395083),
008d6dcf-da3c-4e53-9dbd-b97678df716b,,,,,,,,,,,,,,,,,,,,,,"MULTIPOLYGON(((-0.534015 53.23492,-0.534019 53.234901,-0.534021 53.234899,-0.534021 53.234898,-0.534021 53.234896,-0.534021 53.234894,-0.534021 53.234892,-0.534021 53.234891,-0.534019 53.23489,-0.534017 53.23489,-0.534015 53.23489,-0.534013 53.234892,-0.534012 53.234895,-0.534012 53.234897,-0.534012 53.234898,-0.534013 53.2349,-0.534014 53.2349,-0.534014 53.234902,-0.53401 53.23492,-0.534015 53.23492)))"
