ResourceID,External Cross Reference Source,External Cross Reference Number,External Cross Reference Notes,Archive Source Title,Date of Origination,Statement of Responsibility,Publisher,Archive/Source Type,Notes,Repository Name,Archive Source Format,Start Date,End Date
00ECCC49-002F-46D9-BF0B-E225214D81A5,Lincoln Heritage Database (Sources),1806,,"""John of Gaunts Mansion, Lincoln""",1840,"""Buckler, J. C.""",,Drawing,,,,,
01EF313B-1D57-4AB1-BA77-8534E446EF68,Lincoln Heritage Database (Sources),2635,,"""Lincoln, Bishops Palace. Alnwick Tower from the south west""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
02841D5F-9DB4-4869-8D88-BF7ECE645AEA,Lincoln Heritage Database (Sources),1504,,"""Lincoln, New St Marks Church""",1786,"""Grimm, Samuel Hieronymous""",,Drawing,,,,,
036F0C17-A9F9-4074-87A0-50E44C611771,Lincoln Heritage Database (Sources),1569,,"""Voluntary Observations of interventions by staff of the Heritage Team, Lincoln City Council.""",,,,Card Index,,,,,
03B29372-0816-4DF6-B363-CE1A54E12F77,Lincoln Heritage Database (Sources),680,,"""Catalogue of the Romano-British iron tools, fittings and weapons in the British Museum""",1985,"""Manning, W. H.""","""Trustees of British Museum""",Catalogue,,,,,
0472701A-9893-487B-8AC6-84700BD404CE,Lincoln Heritage Database (Sources),2950,,"""A Plan of the Castle of Lincoln (Plan of Lincoln Castle, Lincolnshire, and buildings and lands outside of the castle walls belonging to the Duchy of Lancaster)""",1812,"""Jonathan Teal & Son""",,Map,"""In National Archives MPC 1/275. Digital copy in file""",The National Archives,,,
0A79F689-8AB4-40D6-87E1-B1D389630BCC,Lincoln Heritage Database (Sources),1148,,"""Plan of the City of Lincoln, from a Survey made by Jas S Padley, 1819""",,"""Padley, James Sandby""",,Map,,,,1819,1930
0AFF89D7-911D-46F2-B5AF-167530877595,Lincoln Heritage Database (Sources),1760,,"""Mosaic/tessellated floor, Exchequergate (painting)""",1879,"""Hewitt, B. A.""",,Painting,"""In Lincoln Museum""",Lincoln Museum,,,
0B72F986-4447-476D-91A8-FBBFA29253A4,Lincoln Heritage Database (Sources),2132,,"""Boultham Hall Estate Lincoln""",1916,"""Naylor and Sale""",,Map,,,,,
0C6EF715-EFCB-431C-A6BD-2DCE5C72DCAC,Lincoln Heritage Database (Sources),2665,,"""Lincoln, part of the old house near St Peter at Gowts""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
0E0B31C9-F3AC-4F9C-B0CE-3BC365FD8C01,Lincoln Heritage Database (Sources),2134,,"""Plan of the Parish of St Mary Magdalene in the City of Lincoln""",1851,"""Betham, E.""",,Map,,,,,
0E5C03FA-A40F-46BC-BE17-6D4235F09928,Lincoln Heritage Database (Sources),1486,,"""Brayford Head, 1790. A drawing""",1790,"""Nutter, W.""",,Drawing,,,,,
16F61775-5287-4270-B5B0-859014C52B3A,Lincoln Heritage Database (Sources),1151,,"""Map of Lincoln""",,"""Marrat, William""",,Map,,,,1817,1848
19022338-32FB-41D5-89F3-93307AA66B25,Lincoln Heritage Database (Sources),1873,,"""St Hugh of Lincoln""",1972,"""Froude, J. A.""","""The Friends of Lincoln Cathedral""",Leaflet,,,,,
19FE22CA-B845-453A-9CC4-39080AF72526,Lincoln Heritage Database (Sources),745,,"""1:10560 map of Lincoln""",,"""Ordnance Survey""","""Ordnance Survey""",Map,,,,1921,1933
1A15769F-54EE-4636-AD5A-029A41AE57E1,Lincoln Heritage Database (Sources),1499,,"""Lincoln from the Bishops Palace from the north-east""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
1EFF97C7-C378-4A87-B7B6-D240154511F8,Lincoln Heritage Database (Sources),47,,"""The Lincoln and Stamford mints in the tenth and eleventh centuries""",1981,"""Blunt, C. E.and Gunstone, A. J. H.""","""Lincolnshire County Council""",Leaflet,,,,,
1F6E3458-40EC-4DCF-BF14-C57455F747BC,Lincoln Heritage Database (Sources),1223,,"""Survey of Lincoln""",,,,Notebook,,,,,
200AAB34-433A-43AB-92E7-77485CB3E09B,Lincoln Heritage Database (Sources),1709,,"""Lincoln Minster, view of Newport Gate""",1853,"""MacKenzie, F.""","""Brookes W & B""",Image,,,,,
2045FF96-BBA2-4EBD-A99F-5E54F64ABFED,Lincoln Heritage Database (Sources),1672,,"""Plan Shewing The Site of The Roman Pavement""",1890,"""Ramsden, B. R.""",,Map,,,,,
209AB582-E1B4-4AFC-99E2-4322E8FF7180,Lincoln Heritage Database (Sources),1171,,"""Lincs Chronicle 1836""",1836,,,Newspaper Article,,,,,
2248C062-BA9B-4645-B71A-54C46BE72B66,Lincoln Heritage Database (Sources),2907,,"""Old City Wall Discovery. Foundation Revealed in Saltergate""",,,,Manuscript,,,,,
23D4F9D4-D312-45E5-8DB1-2F3B2E037453,Lincoln Heritage Database (Sources),1518,,"""Proposed plan for the Sewerage of the City of Lincoln""",1849,"""Lincoln Corporation""",,Map,,,,,
244A0B3A-D077-4B6A-8A04-E50E2C190A5E,Lincoln Heritage Database (Sources),1539,,"""Map of the parish of St Mark""",1744,,,Map,,,,,
259B2098-6E2D-4688-9088-1DBE2E278D37,Lincoln Heritage Database (Sources),2919,,"""Morning Post""",,,"""Morning Post""",Newspaper Article,,,,,
25A3F998-601D-45C3-8CF4-E9989D49A8CF,Lincoln Heritage Database (Sources),2122,,"""The North View of Lincoln Palace taken from the Top of the Minster""",1726,"""Buck, Samuel""",,Engraving,,,,,
26CDE44D-F87D-4EC5-8CD2-2A4D463678DA,Lincoln Heritage Database (Sources),1512,,"""Stonebow from the south""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
26EE5843-7FE4-4D37-884A-28CB352F0781,Lincoln Heritage Database (Sources),1604,,"""Lincolnshire Gazette""",2001,"""Kevin Skaith""",,Newspaper Article,,,,,
26FC75E4-C109-46CA-858C-B49BC3113BB9,Lincoln Heritage Database (Sources),1513,,"""Newport Arch from the south""",1784,"""Grimm, Samuel Hieronymous""",,Drawing,,,,,
28187336-B5C4-4432-B6DB-18561AC18C18,Lincoln Heritage Database (Sources),2668,,"""Lincoln Cathedral from the east""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
28416D9C-8ACD-4F8C-909A-116F441734EA,Lincoln Heritage Database (Sources),1960,,"""1:1250 map of Lincoln.""",1967,"""Ordnance Survey""","""Ordnance Survey""",Map,,,,,
2CAE82FE-D0D5-486C-AD72-C3B2EF5363A6,Lincoln Heritage Database (Sources),1870,,"""Lincoln Angels""",,"""Gardner, A.""","""The Friends of Lincoln Cathedral""",Leaflet,,,,,
2E76C3A4-852F-460D-974C-4EE8FAD2EBE9,Lincoln Heritage Database (Sources),2552,,"""Newport Arch from the north""",,,,Image,,,,,
306C6B57-E27A-4510-B0FE-89952B4071DD,Lincoln Heritage Database (Sources),2133,,"""A plan of Lands remaining titheable in the Parish of St Peter in Eastgate Lincoln""",1849,"""Betham and Son""",,Map,,,,,
313A8FC2-7923-4F6B-A806-46AE0241AAC3,Lincoln Heritage Database (Sources),871,,"""Revised List of Buildings of Special Architectural or Historic Interest: City of Lincoln. County of Lincolnshire""",1999,"""Department of Culture, Media and Sport""","""Department of Culture, Media and Sport""",List of Buildings,,,,,
3153A62D-2326-482B-BB24-CEF37ADE6649,Lincoln Heritage Database (Sources),1220,,"""Lincolns New Water""",1911,,,Newspaper Article,,,,,
31B98B18-C3BC-49B7-86A9-9188491B6054,Lincoln Heritage Database (Sources),1506,,"""Church of St Botolph""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
323D703E-CAD6-4CFC-A15D-AD72065ADEC7,Lincoln Heritage Database (Sources),1219,,"""The Lincoln Gas Light and Coke Co Ltd""",,,,Manuscript,,,,,
324B7C74-2E95-4E44-9181-B89900410CE8,Lincoln Heritage Database (Sources),2067,,"""Greyfriars""",1725,"""Buck""",,Drawing,,,,,
34C002EC-B510-4D15-8921-A2132CC6FBD8,Lincoln Heritage Database (Sources),2660,,"""Lincoln, St Pauls Church""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1788
34ED40CF-B16D-4A7E-90C4-E332D055BFD6,Lincoln Heritage Database (Sources),1507,,"""Lincoln, St Martins church""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
35D1BDC6-90D9-4678-9799-60171F9312B9,Lincoln Heritage Database (Sources),1759,,"""Lincs Chronicle 1836""",1836,,,Newspaper Article,,,,,
36E5A8F2-9A07-4D2B-886B-100373CF359F,Lincoln Heritage Database (Sources),2555,,"""Reform Act Plan, 2 inches to the mile""",1820,"""Ordnance Survey""","""Ordnance Survey""",Map,,,,,
377E92E1-8955-4009-B45D-369AEC3C2C88,Lincoln Heritage Database (Sources),1515,,"""Mint Wall from the south""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
37F4BA99-6103-4B68-BC16-DFA926412ADA,Lincoln Heritage Database (Sources),1490,,"""High Street looking north. A drawing""",1818,"""Brooke, William Henry""",,Drawing,,,,,
3A3596F9-7B24-4967-9EF6-1217692C6A5D,Lincoln Heritage Database (Sources),461,,"""Adversaria, or collections for an history of the city of Lincoln""",1737,"""Sympson, T.""","""Gough MSS Collection, Bodleian Library, Oxford""",Manuscript,,,,,
3B2D03ED-7630-4946-B7C7-2BE56A93F4D5,Lincoln Heritage Database (Sources),2648,,"""Lincoln, houses of the Sub-dean and precentor""",,"""Grimm, Samuel Hieronymous""",,Drawing,,,,1784,1786
