ResourceID,WKT
"0027c86e-5a73-4819-afec-08fac0423102","POLYGON((-0.537126 53.239978,-0.537124 53.239934,-0.537011 53.239935,-0.537011 53.239913,-0.536963 53.239914,-0.536964 53.239933,-0.536902 53.239933,-0.536902 53.239909,-0.536813 53.239909,-0.536813 53.239933,-0.536787 53.239933,-0.536782 53.23991,-0.536726 53.239909,-0.536726 53.239934,-0.536716 53.239935,-0.536673 53.239934,-0.536673 53.239927,-0.5366 53.239925,-0.536599 53.239986,-0.536716 53.239983,-0.537126 53.239978))"
"0062b74c-7104-440e-b623-943340102aaa","POLYGON((-0.529553 53.236457,-0.529293 53.236588,-0.529569 53.236498,-0.530546 53.23625,-0.531389 53.236078,-0.532095 53.235945,-0.533039 53.235779,-0.533891 53.235633,-0.534478 53.235529,-0.534565 53.235435,-0.533745 53.235567,-0.533145 53.235676,-0.532627 53.235762,-0.531339 53.23599,-0.529552 53.23638,-0.529553 53.236457))"
"0062b74c-7104-440e-b623-943340102aaa","POLYGON((-0.529558 53.236456,-0.529589 53.236437,-0.529782 53.236396,-0.529883 53.236368,-0.530014 53.236328,-0.530159 53.236276,-0.530351 53.236194,-0.530491 53.236119,-0.530814 53.235941,-0.531036 53.235816,-0.531216 53.235754,-0.531415 53.235706,-0.531632 53.235663,-0.531829 53.235616,-0.532228 53.235507,-0.532575 53.235421,-0.532968 53.235329,-0.532776 53.235311,-0.532241 53.235437,-0.532009 53.235495,-0.531776 53.23555,-0.531402 53.235623,-0.531179 53.235668,-0.531019 53.235723,-0.530875 53.235785,-0.53054 53.235951,-0.530439 53.236006,-0.530195 53.236132,-0.529941 53.23623,-0.529548 53.236351,-0.529558 53.236456))"
"00852ad6-9770-46c3-b4e6-659ab6d1cd45","POLYGON((-0.542979 53.232372,-0.542988 53.232348,-0.542952 53.232338,-0.542941 53.232366,-0.542979 53.232372))"
"0085fdbf-df0a-448e-a757-a260fc15c00a","MULTIPOLYGON(((-0.543712 53.234121,-0.543419 53.234041,-0.543064 53.233964,-0.543038 53.234055,-0.543095 53.234073,-0.54308 53.234193,-0.543098 53.234165,-0.54312 53.234144,-0.543159 53.234124,-0.543191 53.234114,-0.543227 53.234108,-0.543276 53.234111,-0.543352 53.234125,-0.543523 53.234168,-0.543716 53.234224,-0.543984 53.234313,-0.544398 53.23446,-0.544992 53.234686,-0.545375 53.234844,-0.546702 53.235625,-0.547003 53.235779,-0.547357 53.235979,-0.547544 53.236088,-0.547642 53.236163,-0.547659 53.236181,-0.547667 53.236194,-0.547688 53.236241,-0.547712 53.236288,-0.547725 53.236336,-0.547719 53.236391,-0.547695 53.236464,-0.54767 53.236552,-0.547652 53.236638,-0.547646 53.236704,-0.547647 53.236785,-0.547662 53.236896,-0.547772 53.236893,-0.547745 53.236831,-0.547745 53.236833,-0.547724 53.236696,-0.547729 53.236641,-0.547733 53.236641,-0.54775 53.236562,-0.547809 53.236333,-0.547804 53.236271,-0.547788 53.23622,-0.547763 53.236174,-0.547739 53.236134,-0.547704 53.236089,-0.547643 53.236041,-0.547466 53.235934,-0.547294 53.235825,-0.546866 53.235581,-0.546138 53.235152,-0.545835 53.234964,-0.545419 53.234734,-0.545422 53.234734,-0.545316 53.234686,-0.545166 53.234614,-0.544781 53.234476,-0.544785 53.234479,-0.54409 53.234235,-0.543913 53.234176,-0.543913 53.234177,-0.543712 53.234121)),((-0.543712 53.234121,-0.543766 53.234135,-0.543584 53.234085,-0.543712 53.234121)))"
"00e250b0-e0b1-42e4-bf88-9cf22547a4fe","POLYGON((-0.540951 53.230226,-0.540932 53.230275,-0.540909 53.230325,-0.541381 53.230419,-0.541394 53.230038,-0.541092 53.229999,-0.541041 53.229998,-0.540951 53.230226))"
"01351dc3-664d-4e64-b283-334fa00b2786","POLYGON((-0.520246 53.253562,-0.520283 53.253529,-0.52031 53.253492,-0.520325 53.253454,-0.520328 53.253414,-0.520318 53.253375,-0.520297 53.253337,-0.520265 53.253302,-0.520222 53.253272,-0.520171 53.253246,-0.520113 53.253227,-0.520051 53.253215,-0.519985 53.253209,-0.519919 53.253211,-0.519854 53.25322,-0.519794 53.253236,-0.519739 53.253259,-0.519692 53.253287,-0.519655 53.25332,-0.519628 53.253356,-0.519613 53.253395,-0.51961 53.253435,-0.51962 53.253474,-0.519641 53.253512,-0.519673 53.253546,-0.519716 53.253577,-0.519767 53.253602,-0.519825 53.253621,-0.519887 53.253634,-0.519953 53.253639,-0.520019 53.253637,-0.520084 53.253628,-0.520144 53.253612,-0.520199 53.25359,-0.520246 53.253562))"
"01351dc3-664d-4e64-b283-334fa00b2786","POLYGON((-0.52169 53.253611,-0.521748 53.25359,-0.521799 53.253562,-0.521841 53.25353,-0.521872 53.253493,-0.521891 53.253453,-0.521898 53.253412,-0.521892 53.253371,-0.521874 53.253332,-0.521843 53.253295,-0.521802 53.253262,-0.521752 53.253234,-0.521694 53.253212,-0.52163 53.253197,-0.521563 53.253189,-0.521494 53.253189,-0.521427 53.253196,-0.521362 53.253211,-0.521304 53.253232,-0.521253 53.25326,-0.521211 53.253293,-0.52118 53.253329,-0.521161 53.253369,-0.521154 53.25341,-0.52116 53.253451,-0.521179 53.25349,-0.521209 53.253527,-0.52125 53.25356,-0.5213 53.253588,-0.521358 53.25361,-0.521422 53.253625,-0.52149 53.253633,-0.521558 53.253633,-0.521626 53.253626,-0.52169 53.253611))"
"01351dc3-664d-4e64-b283-334fa00b2786","POLYGON((-0.527092 53.243355,-0.527647 53.242875,-0.527613 53.242861,-0.527059 53.243341,-0.527092 53.243355))"
"015f9846-31e3-484b-bf92-e24a44fb2b05","POLYGON((-0.549419 53.219634,-0.549407 53.219618,-0.549314 53.219613,-0.548433 53.219572,-0.54806 53.219557,-0.547797 53.219549,-0.547562 53.219537,-0.547205 53.219508,-0.545898 53.21939,-0.545755 53.219382,-0.545546 53.219375,-0.545408 53.219368,-0.54532 53.219368,-0.545306 53.219369,-0.54528 53.219374,-0.545087 53.219449,-0.544876 53.219507,-0.544818 53.219517,-0.544799 53.219518,-0.544709 53.219515,-0.544099 53.219466,-0.543736 53.219434,-0.5435 53.219407,-0.543412 53.219395,-0.543219 53.219356,-0.54308 53.21933,-0.542578 53.219253,-0.542406 53.21923,-0.542333 53.219221,-0.541784 53.21917,-0.54177 53.219202,-0.541967 53.219216,-0.542029 53.219223,-0.542142 53.219231,-0.542457 53.219266,-0.542934 53.219338,-0.543116 53.21937,-0.543194 53.219386,-0.543368 53.219426,-0.543426 53.219437,-0.543472 53.219444,-0.543557 53.219452,-0.543775 53.219466,-0.543972 53.219481,-0.544754 53.219545,-0.544823 53.219547,-0.544853 53.219541,-0.545017 53.219491,-0.545109 53.219465,-0.545265 53.219406,-0.545309 53.219392,-0.545337 53.219387,-0.545361 53.219387,-0.545895 53.21941,-0.546563 53.219471,-0.547 53.21951,-0.547523 53.219554,-0.547668 53.219565,-0.548277 53.219583,-0.549419 53.219634))"
