ResourceID,External Cross Reference Source,External Cross Reference Number,External Cross Reference Notes,Information Source Title,Date of Origination,Description,Description Type,Statement of Responsibility,Publisher,Bibliographic Source Type,Notes,Subject,Date of Origination,Language,Right Note,Right Type,0
0009E6BC-2002-48C3-86A9-D3CCEAF7503C,Lincoln Heritage Database (Sources),1071,,"""North Row""",1946,,,,"""Lincoln Archaeological Research Committee""",Article,,,1946,,,,9
00199D1E-1486-44C9-9755-6FFBFDE54DE0,Lincoln Heritage Database (Sources),4212,,"""Archaeological Journal 49""",1892,,,,"""Archaeological Institute of Great Britain and Ireland""",Journal,,,1892,,,,9
009DE187-A601-4B9A-8DF5-BAD4D0C8167D,Lincoln Heritage Database (Sources),88,,"""Lincoln: the archaeology of an historic city""",1975,,,"""Colyer, C.""",,Article,,,1975,,,,9
00E92FD0-E86C-4137-8087-83A3C7762DFD,Lincoln Heritage Database (Sources),2257,,"""The Stonebow""",1975,,,"""Hill, F.""","""Archaeological Institute of Great Britain and Ireland""",Article,,,1975,,,,8
00F86AC0-AAEB-4C0A-AB54-066F0B5F115E,Lincoln Heritage Database (Sources),338,,"""Late Roman and Early Germanic Belt Fittings from Lincolnshire""",1984,,,"""Leahy, K. A.""",,Volume,,,1984,,,,9
01439F6C-3568-43DD-B807-7DCBD765B70A,Lincoln Heritage Database (Sources),1125,,"""A Preliminary Note upon the Environmental Evidence from the St Marks Goodyard Site, Lincoln""",1989,,,"""Dinnin, M. and Buckland, P. C.""",,Report,,,1989,,,,9
014809A0-CFED-4C53-8ECF-4197AD9E8EC9,Lincoln Heritage Database (Sources),1566,,"""Lincoln Then and Now Vol. 3""",1987,,,"""Hodson, M. B.""","""Hodson, M. B.""",Volume,,,1987,,,,8
014E87EC-3CED-406A-8775-67F37FE119A6,Lincoln Heritage Database (Sources),162,,"""Lincoln Castle: A Guide""",1984,,,"""Elliot, H.  and Stocker, D. A.""",,Guide Book,,,1984,,,,9
0155C8C4-2548-4498-A84C-D5062A0698E1,Lincoln Heritage Database (Sources),2254,,"""The Cardinal's Hat, 268 High Street, Lincoln""",1975,,,"""Roberts, D. L.""","""Archaeological Institute of Great Britain and Ireland""",Article,,,1975,,,,8
015D1AFE-ED92-4F24-B4F5-FC525EA8FCB9,Lincoln Heritage Database (Sources),2938,,"""Living Lincoln""",1914,,,"""Gilbert, B.""","""Lincolnshire Publishing Company""",Volume,"""Digital copy in LHD Sources file.""",,1914,,,,7
019273A2-DCDD-43F7-9BA9-3B7477E98A1D,Lincoln Heritage Database (Sources),4079,,"""The Roman Quay at St Magnus House, London: Excavations at New Fresh Wharf, Lower Thames Street, London 1974-78, London and Middlesex Archaeological Society Spec Pap, 8""",1986,,,"""Miller, Louise, Schofield, John & Rhodes, Michael""","""London and Middlesex Archaeological Society""",Volume,,,1986,,,,8
019FA7C8-21DF-4379-924F-458D7D117EB0,Lincoln Heritage Database (Sources),234,,"""Archaeology and Planning: The Future of the Past""",1993,,,"""Hockley, John""","""City of Lincoln Archaeology Unit""",Article,,,1993,,,,8
01C0315F-8E81-43A4-98A2-8FF8FEAA86F9,Lincoln Heritage Database (Sources),4350,,"""Oxoniensia 59""",1994,,,,,Journal,,,1994,,,,10
