WKT,ResourceID,PRN TYPE,External Cross Reference Source,External Cross Reference Number,External Cross Reference Notes,Heritage Asset Name,Name Type,Artefact/Ecofact Type,Material,ArtefactType PERIOD,Artefact/Ecofact Type PERIOD FROM,Artefact/Ecofact Type PERIOD TO,Description,Description Type,Easting,Northing,Inscription Content,Inscription Language,Inscription Note,Inscription Script,Translation,Compiler,Date of Compilation,Date of Last Update,Dimension Type,Dimension Measurment Unit,Dimension Value,Recovery Method,Storage Location,Storage Reference Number
POINT (-0.539119889866338 53.230723350581),005E437D-A251-432E-A70F-D9CB1668AB3C,,Lincoln Heritage Database Event No,11145,,"""Stone Coffins and Human Remains, Butchery Street""",Primary,HUMAN REMAINS,,Uncertain,,,"""Report of a find of several stone coffins and skeletons, ""some of them in a high state of preservation"", on the north side of Butchery Street, while excavating a cellar for a Mr Ostler (SM 19/05/1820)""",Summary,497614,371405,,,,,,,,,,,,Chance find,,
,005E437D-A251-432E-A70F-D9CB1668AB3C,,,,,,Primary,COFFIN,STONE,Uncertain,,,,Summary,,,,,,,,,,,,,,,,
POINT (-0.541165381839538 53.2287257338752),01CCA78A-40CC-4C98-A987-BB3DE9371505,,Lincoln Heritage Database Event No,1660,,"""Medieval Bone Comb and other finds, 214-215 High Street""",Primary,COMB,Bone,Medieval,1066,1540,"""12th century bone comb found with animal bones and pottery including Stamford ware crucibles and Blau-grau ware at a depth of between 4 feet 6 (1.37m) inches and 9 feet (2.74m) in black river mud""",Summary,497482,371180,,,,,,,,,,,,Chance find,The Collection,88.8
,01CCA78A-40CC-4C98-A987-BB3DE9371505,,,,,,Primary,CRUCIBLE,CERAMIC,Medieval,1066,1540,,Summary,,,,,,,,,,,,,,,,
,01CCA78A-40CC-4C98-A987-BB3DE9371505,,,,,,Primary,SHERD,CERAMIC,Medieval,1066,1540,,Summary,,,,,,,,,,,,,,,,
POINT (-0.555048423680981 53.2159497682715),01EB5686-2A44-4C52-AD7D-65CD264DDDF4,,Lincoln Heritage Database Event No,10628,,"""Roman Coin, Boultham Park Road""",Primary,COIN,METAL,Roman,0043,0410,"""Find in a garden of Roman coin, a dupondius of Marcus Aurelius,  AD161-180, and a disturbed skeleton (nd). Exact location not recorded in Archaeological Notes""",Summary,496584,369740,,,,,,,,,,,,Chance find,,
POINT (-0.544104505121711 53.222900424097),0325F649-F7AD-4426-AFDC-057EF9F2D8B0,,Lincoln Heritage Database Event No,1428,,"""Roman Urn, John OGaunts""",Primary,URN,CERAMIC,Roman,0043,0410,"""Roman urn 4 1/4 inches (108mm) high. Decorated by coarse marking""",Summary,497299,370528,,,,,,,,,,,,Chance find,The Collection,9275.06
POINT (-0.53837794881705 53.2349124155319),03E51FFC-7DC9-45FD-B61D-F84F3CE15AA8,,Lincoln Heritage Database Event No,1453,,"""Medieval Pitcher, 90 Bailgate""",Primary,SHERD,CERAMIC,Medieval,1066,1540,"""Portion of pitcher.""",Summary,497654,371872,,,,,,,,,,,,Chance find,The Collection,9617.06
,03E51FFC-7DC9-45FD-B61D-F84F3CE15AA8,,,,,,Primary,PITCHER,CERAMIC,Medieval,1066,1540,,Summary,,,,,,,,,,,,,,,,
POINT (-0.538435305057378 53.2371874957676),04BE444D-2DFF-406A-8D8B-B3D26F52C301,,Lincoln Heritage Database Event No,1579,,"""Roman Samian Ware, 50 Bailgate. Lincoln Co-op building Newport Arch""",Primary,SHERD,CERAMIC,Roman,0043,0410,"""Fragment of Roman samian ware. Form 33. OF.VITA (base)""",Summary,497645,372125,,,,,,,,,,,,Chance find,The Collection,373.37
