WKT,ResourceID,External Cross Reference Number,External Cross Reference Source,External Cross Reference Notes,Primary Reference Number Type,Activity Name,Name Type,Site Name,Activity Type,Description,Description Type,Start Date,End Date,xcoord,ycoord,Location of Archive,Archive Reference Number,Compiler,Date of Compilation,Date of Last Update
POINT (-0.557057484637481 53.2158842129849),52cb806f-9b97-41ae-aef6-4e919747d558,1,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Boultham Park Road, area west of""",Primary,"""Quorn Drive""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) during laying of water main pipes. Modern limestone hardcore bedding for the road surface lay directly on natural sand. No archaeological deposits were found.""",Summary,1994-10-04,1995-03-02,496450,369730,Lincoln City and County Museum,145.94,Michael Dore,1994-10-07,2010-02-15
POINT (-0.545328501346881 53.219490314072),bcf28c8d-32c4-4695-8963-0a782252a54b,2,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at High Street/Peel Street""",Primary,"""High Street/Peel Street junction""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) of groundworks for a residential development, Lancaster Court.  No structures were found, but medieval or early post medieval levels were encountered at a shallow depth. The 1882 Avoiding Line embankment and railway bridge abutment had destroyed deposits on the southern and eastern sides of the excavated area, leaving  areas north and east of the slab to be investigated.""",Summary,1994-09-10,1994-09-23,497225,370147,Lincoln City and County Museum,129.94,Michael Dore,1994-09-23,2009-02-05
POINT (-0.541562344573008 53.2183655292293),0ee79ae6-1621-4d9c-93e9-02fb0098337b,3,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at Sincil Bank""",Primary,"""Lincoln City Football Club - new stand""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief) site.""",Summary,1994-09-15,1994-10-17,497479,370027,Lincoln City and County Museum,136.94,Michael Dore,1994-09-23,2009-02-05
POINT (-0.542863916624949 53.2281172355198),0d3f7e18-ce92-4b5d-8c29-75abef64976a,4,Lincoln Heritage Database Events,,Investigative Activity,"""Photographic Survey at Brayford Wharf East""",Primary,"""Hercocks banana warehouse""",PHOTOGRAPHIC SURVEY,"""Photographic survey of former Hercocks banana warehouse prior to demolition""",Summary,1993-05-10,1993-05-10,497370,371110,Lincoln City and County Museum,2005.176,Michael Dore,1995-01-13,2013-09-16
POINT (-0.546291892777016 53.2153668296761),7acc0bf2-61b4-4744-b838-835edc852350,5,Lincoln Heritage Database Events,,Investigative Activity,"""Watching Brief at High Street""",Primary,"""5-6 High Street. Rylatts betting shop""",WATCHING BRIEF,"""Archaeological monitoring and recording (watching brief)""",Summary,1994-01-26,1994-01-26,497170,369687,Lincoln City and County Museum,21.94,Michael Dore,1994-02-17,1998-12-16
POINT (-0.537198530195209 53.229513154236),30862268-4b04-4759-b2b5-d18f2ae38b9a,6,Lincoln Heritage Database Events,,Investigative Activity,"""Photographic Survey at Broadgate""",Primary,"""Greyfriars Library Broadgate""",PHOTOGRAPHIC SURVEY,"""Site of photographic and architectural survey prior to redevelopment""",Summary,1994-02-08,1994-02-08,497745,371273,Lincoln City and County Museum,32.94,Michael Dore,1994-02-17,1994-02-17
POINT (-0.543316899877467 53.2249224603635),48653767-12aa-44d2-ba65-b7b38f442ddc,7,Lincoln Heritage Database Events,,Investigative Activity,"""Geotechnical Test Pit at High Street""",Primary,"""St Marks station""",GEOTECHNICAL TEST PIT,"""Archaeological monitoring of six geotechnical trial pits, Trial Pit 1-6.""",Summary,1994-02-24,1994-02-25,497347,370754,Lincoln City and County Museum,39.94,Michael Dore,1995-01-13,2008-12-02
POINT (-0.53604566979319 53.2303709959212),dfeaf8ed-843e-4678-a72a-784c5e918569,8,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate""",Primary,"""30-31 Broadgate""",EXCAVATION,"""Excavation site""",Summary,1991-01-17,1991-01-17,497820,371370,Lincoln City and County Museum,2006.77,Michael Dore,1995-01-13,2013-09-13
POINT (-0.535770688716149 53.2296484468302),2af92266-6d3a-416c-8b10-a4e9201f2fa7,9,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Excavation site in advance of the construction of a multi-storey car park, consisting of six areas. Four of the planned 10 areas were not excavated.""",Summary,1973-07-02,1973-09-29,497840,371290,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
POINT (-0.535466280717715 53.2297885413461),4db2ce55-9d57-494a-ad85-47405acd01e2,10,Lincoln Heritage Database Events,,Investigative Activity,"""Excavation at Broadgate/ Unity Square/St Rumbold Street/Friars Lane""",Primary,"""Broadgate East 1973""",EXCAVATION,"""Area 1 of ten. Area I, beneath the demolished 7-13 Unity Square, 17-19 Rosemary Lane and the eastern part of Friars Place.""",Summary,1973-07-02,1973-09-29,497860,371306,Lincoln City and County Museum,2006.209,Michael Dore,1995-01-13,2013-09-10
