ResourceID,External Cross Reference Number,External Cross Reference Source,External Cross Reference Notes,Organisation Name,Description,Contact Point,Contact Point Type,Compiler,Compilation Date,Update Date
044C3CDE-EABC-4C3D-AE80-7367FBE84D74,1043,Lincoln Heritage Database Organization Number,,Wilson Compton Associates,,,,,,
14769A8D-58B8-4C7E-B98D-3C6129F4D846,1027,Lincoln Heritage Database Organization Number,,Mike Jarvis Archaeological Services,,,,,,
150BEB21-3695-4894-AF3A-95162DA699DF,1047,Lincoln Heritage Database Organization Number,,Environmental Archaeology Consultancy,,,,,,
1AD6193B-0F8F-40B1-87F7-4646CB9082BC,1041,Lincoln Heritage Database Organization Number,,W. Watkins and Son,,,,,,
1BF8C0C2-7B4F-4805-BC52-ADF888AD9A4F,1011,Lincoln Heritage Database Organization Number,,Field Archaeology Specialists,,,,,,
2451A6E4-E35D-4C49-AAA2-879F7F6C2CB7,1005,Lincoln Heritage Database Organization Number,,CgMs,,,,,,
2588A8A4-D1DF-42CE-AE01-AF3A7EE0C712,1013,Lincoln Heritage Database Organization Number,,Gifford and Partners,,,,,,
327BC1BD-933E-4302-B689-D4F444AF5F97,1032,Lincoln Heritage Database Organization Number,,Planning and Environmental Services Ltd,,,,,,
3661EFFA-641C-47BB-99C6-00ECBB249D4B,1038,Lincoln Heritage Database Organization Number,,TLP Ground Investigations,,,,,,
3B32A109-67CE-4E71-AE3A-A4008637DA03,1042,Lincoln Heritage Database Organization Number,,Wessex Archaeology,,,,,,
3E91FFAF-B8D6-40C1-A3EB-8BA036CD85EE,1019,Lincoln Heritage Database Organization Number,,Lincoln Archaeological Research Committee,,,,,,
40F1134E-16B4-4A91-846E-90F6032BDBE2,1040,Lincoln Heritage Database Organization Number,,UCA,,,,,,
479648C6-CD8E-486D-B549-C9F8E49FF904,1031,Lincoln Heritage Database Organization Number,,Oxford Archaeotechnics,,,,,,
4BB25F08-745D-406F-AEDE-369FCFC54918,1010,Lincoln Heritage Database Organization Number,,FAS Heritage,,,,,,
4BFF7126-F53A-4167-831C-23CC1C873C65,1014,Lincoln Heritage Database Organization Number,,Institute of Geological Sciences,,,,,,
5146E170-B879-483B-82AF-DB37E641BA17,1003,Lincoln Heritage Database Organization Number,,Archaeological Project Services,,,,,,
56CC9DDF-D570-4E49-B323-A19D2747F1DB,1026,Lincoln Heritage Database Organization Number,,Matrix Archaeology,,,,,,
570ED374-CDFD-4F3D-B49C-A8C4B6CA2A3B,1036,Lincoln Heritage Database Organization Number,,Society for Lincolnshire History and Archaeology,,,,,,
64FE17FB-2972-4840-B5A4-92CB80014345,1022,Lincoln Heritage Database Organization Number,,Lincoln Civic Trust,,,,,,
67555B25-B2B4-453C-BF7A-4F8D15CB097E,1044,Lincoln Heritage Database Organization Number,,Witham Archaeology,,,,,,
68D5FDB1-2180-4828-88C0-678F10E87CEB,1012,Lincoln Heritage Database Organization Number,,Geophysical Surveys of Bradford,,,,,,
6D48B709-DAF5-4DC6-A53E-4ABE4C41F973,1035,Lincoln Heritage Database Organization Number,,Royal Commission on the Historical Monuments of England,,,,,,
6E3FF6DA-A804-4B93-BBCA-D31B4033FBB6,1023,Lincoln Heritage Database Organization Number,,Lincs Archaeo-tech,,,,,,
80BF9754-497C-4DB2-830B-5F8D4351AD3D,1002,Lincoln Heritage Database Organization Number,,Anderson and Glenn,,,,,,
87FE8385-AA58-420C-9A41-99FC46F8F267,1028,Lincoln Heritage Database Organization Number,,Naomi Field Archaeological Consultancy,,,,,,
880DE6E6-6BD8-4B8A-B043-7653BA4EB10C,1029,Lincoln Heritage Database Organization Number,,Network Archaeology Ltd,,,,,,
883C3F19-E46F-4D25-8C0C-E55F662A6E8C,1030,Lincoln Heritage Database Organization Number,,Northamptonshire Archaeology,,,,,,
9054145A-DFA7-40C8-8A94-6F8826B23CB1,1021,Lincoln Heritage Database Organization Number,,Lincoln City Council,,,,,,
922C7376-B649-439D-82B5-C349F089D120,1018,Lincoln Heritage Database Organization Number,,Langdale-Smith and Company,,,,,,
B5A3938E-7163-4B25-AEB7-50C22082216D,1015,Lincoln Heritage Database Organization Number,,John Roberts Architects Ltd,,,,,,
B9BE9583-C8F6-49B1-ADFC-1AE688102C29,1001,Lincoln Heritage Database Organization Number,,Allen Archaeology Limited,,,,Alastair MacIntosh,7/27/17,
BDA6CAF3-2F0F-47B7-8FC9-CB5136CE87B7,1039,Lincoln Heritage Database Organization Number,,Trent and Peak Archaeology,,,,,,
BDAA36C3-BE28-499F-82E8-6FE6CE1475F0,1020,Lincoln Heritage Database Organization Number,,Lincoln City and County Museum,,,,,,
C35DF852-D176-4DD3-9678-65B3684FBC83,1025,Lincoln Heritage Database Organization Number,,M & M Archaeological Services,,,,,,
CBBC9D0F-B3B7-4019-8E1B-9C167AD1AA98,1017,Lincoln Heritage Database Organization Number,,L - P: Archaeology,,,,,,
CEB225E0-9C71-4506-B1FD-95D560602622,1006,Lincoln Heritage Database Organization Number,,City of Lincoln Archaeology Unit,,,,,,
D23AA32C-233F-4172-9520-DFD221FA6EE8,1046,Lincoln Heritage Database Organization Number,,Geoff Tann-Archaeological Researcher,,,,,,
D7663162-9F74-4C00-BF88-CBB69AC86EDF,1004,Lincoln Heritage Database Organization Number,,Archaeological Research and Consultancy at the University of Sheffield,,,,,,
D7E46F68-323C-452A-8FF3-1E11A232A401,1033,Lincoln Heritage Database Organization Number,,Pre-Construct Archaeological Services Ltd,,,,,,
DD3C6636-4AA3-4F26-9665-A1D14D4A0913,1034,Lincoln Heritage Database Organization Number,,Prospect Archaeology,,,,,,
DE3E250C-66B0-4AB2-B0FE-351AB17C579D,1009,Lincoln Heritage Database Organization Number,,English Heritage,,,,,,
E19A0BE9-6ECF-4FA6-A983-355BB2DC8B18,1007,Lincoln Heritage Database Organization Number,,Colin Hayfield Archaeological Consultancy,,,,,,
E3CF30FC-5066-41F6-B4E0-8AA46EE0647A,1016,Lincoln Heritage Database Organization Number,,John Samuels Archaeological Consultants,,,,,,
E5AB7601-FEC8-4E84-9A6C-91F05CC68E3A,1008,Lincoln Heritage Database Organization Number,,Engineering Archaeological Services Ltd,,,,,,
E6CF50C3-25DF-48CA-A050-74C05D18C029,1037,Lincoln Heritage Database Organization Number,,The Archaeological Consultancy,,,,,,
F4100A6D-0C81-4F00-A500-68A363AAD094,1024,Lincoln Heritage Database Organization Number,,Lindsey Archaeological Services,,,,,,
